"id","cat_id","lat","lon","inner_x_diameter","inner_y_diameter","outer_x_diameter","r_eff","thickness","e","angle","dispersion","abslon"
92447,"MWP1G022722-02632",-0.2632390,22.7217967,0.0275240,0.0287723,0.0436541,1.49779667300844,0.684449162339598,0.291356580589508,55.745,0.0044986,22.7217967
92448,"MWP1G024497+04850",0.4850169,24.4973838,0.0207370,0.0214626,0.0310849,1.09286905184247,0.439067766238572,0.257822296551264,37.909,0.0022830,24.4973838
92449,"MWP1G026106-02258",-0.2257729,26.1056460,0.0251875,0.0242207,0.0385977,1.30185366797256,0.569017214285817,0.274399157458259,3.840,0.0056595,26.1056460
92450,"MWP1G028687+00480",0.0480491,28.6871502,0.0267764,0.0268835,0.0435268,1.45074642547124,0.710660157101619,0.0891730981106998,20.164,0.0057040,28.6871502
92451,"MWP1G030041+05495",0.5495351,30.0407176,0.0706694,0.0650309,0.0924127,3.30783822182737,0.923093775626118,0.391417998810853,23.521,0.0130343,30.0407176
92452,"MWP1G031269+04837",0.4837216,31.2687632,0.0206692,0.0187114,0.0342371,1.08564896569662,0.576058909468016,0.424816776148388,5.967,0.0028958,31.2687632
92453,"MWP1G032099+00921",0.0921401,32.0989596,0.0164735,0.0180861,0.0258220,0.910044729038723,0.396903775105947,0.412764894464805,58.830,0.0035060,32.0989596
92454,"MWP1G039608-00203",-0.0203231,39.6076445,0.0221746,0.0203731,0.0349265,1.14143048243964,0.541320776728923,0.394820217071425,22.006,0.0036963,39.6076445
92455,"MWP1G041229+01685",0.1685499,41.2286950,0.0147788,0.0139277,0.0251074,0.798531164801452,0.438317434037646,0.334457736159454,32.647,0.0020308,41.2286950
92456,"MWP1G044545-02274",-0.2274438,44.5452277,0.0422423,0.0431005,0.0770928,2.44014589376203,1.47862264470259,0.198561657967467,12.573,0.0126143,44.5452277
92457,"MWP1G049841+03647",0.3646536,49.8405742,0.0103438,0.0105357,0.0194286,0.60571848244113,0.385444125910433,0.189991485680821,6.031,0.0016654,49.8405742
92458,"MWP1G048954-04039",-0.4038970,48.9542220,0.0866655,0.1004085,0.1288710,4.78032537930487,1.79396696969177,0.504983293217797,63.466,0.0196312,48.9542220
92459,"MWP1G302592+01767",0.1767352,302.5922677,0.0509692,0.0495437,0.0761019,2.6114719542733,1.06636164926533,0.234847907779577,9.196,0.0086845,-57.4077323
92460,"MWP1G304901+06064",0.6063877,304.9012733,0.0552560,0.0531958,0.0906619,2.95779205800985,1.50230912099258,0.270516419568466,8.525,0.0091586,-55.0987267
92461,"MWP1G307896-04626",-0.4625500,307.8963065,0.0099951,0.0101807,0.0186164,0.582858682181866,0.365779126740271,0.190075756636514,1.628,0.0014154,-52.1036935
92462,"MWP1G320536-03336",-0.3336256,320.5357482,0.0183525,0.0245363,0.0294506,1.12043188223923,0.474113127792715,0.663728692087639,22.503,0.0035510,-39.4642518
92464,"MWP1G331499-04917",-0.4917385,331.4994929,0.0102826,0.0102315,0.0194532,0.598904462664414,0.389076244153507,0.0995712002893239,26.307,0.0012265,-28.5005071
92465,"MWP1G338944-00598",-0.0598111,338.9438912,0.0395838,0.0410221,0.0698268,2.26223405728842,1.28321853803456,0.262476403702975,13.806,0.0137590,-21.0561088
92466,"MWP1G339585-00986",-0.0985861,339.5847173,0.0630759,0.0653293,0.0959189,3.34887216696333,1.39355245440753,0.260376896383436,28.339,0.0292213,-20.4152827
92467,"MWP1G338460-02173",-0.2173164,338.4599621,0.0107393,0.0108393,0.0185071,0.600326807009246,0.329561900820371,0.135522185239863,38.833,0.0021242,-21.5400379
92468,"MWP1G347784+01552",0.1551514,347.7841611,0.0579452,0.0567688,0.0837714,2.93053375301216,1.09575259922024,0.200478707402974,48.537,0.0144608,-12.2158389
